Address,Cost_Electric,GSF,Reading_Total_Electric,building_id,latitude,longitude
Dow Building (aka HH Dow) - 0447,413597.04,154365.0,3596496.14,0447,42.2930227,-83.7153666
E8 Church Street Parking Structure - 0257,43094.31,228214.0,374733.0,0257,42.275909,-83.73419319999999
Earl V Moore Building (aka School of Music) - 0440,264224.22,172639.0,2297601.9,0440,42.28973999999999,-83.7210724
East Ann Arbor Health Center (aka EAHC) - 0350,926261.9799999999,99932.0,8475572.0,0350,42.3079851,-83.67398270000001
East Hall (aka East Engineering) - 0166,518697.74,338897.0,4510415.0,0166,42.2757212,-83.7351922
East Mechanical Building (aka EMB) - 0306,291372.19,8182.0,2533671.0,0306,42.2829492,-83.73016969999999
East Quad (aka EQ) - 0054,434985.11000000004,333036.0,3782479.0000000005,0054,42.2729285,-83.73514589999999
Eisenhower Corporate Park West (aka ECPW) - 8072,341063.98,76726.0,2145439.45,8072,42.2452975,-83.7311198
Eisenhower Cp - 5070,42121.44,37606.0,228451.47999999995,5070,42.2481398,-83.7302959
Electrical Engineering and Computer Science (aka EECS) - 0448,1826487.02,305134.0,15882495.4,0448,42.2923152,-83.7136376
Engineering Research Building 1 (aka ERB1) - 0435,112766.51000000001,36033.0,980578.3200000001,0435,42.2895553,-83.71522809999999
Engineering Research Building 2 (aka ERB2) - 0436,88665.64,28332.0,771005.73,0436,42.2895553,-83.71522809999999
Engineering Research Support Building - 2505,5444.77,1432.0,27494.15,2505,42.3024222,-83.692639
Environmental and Water Resources (aka EWRE) - 0414,121313.51999999999,37129.0,1054900.0899999999,0414,42.2936579,-83.7129868
Executive Residence (aka Exec Res) - 0139,56734.44,50853.0,493343.0,0139,42.2730792,-83.7362461
Fgrl Bldg 5 - 5454,7943.719999999999,4886.0,38635.12,5454,42.2739378,-83.7467544
Field Hockey Complex - 5357,41631.19,18907.0,259498.07000000004,5357,42.2631228,-83.7408607
Fire Station - 0409,10341.49,21528.0,89926.0,0409,42.3003781,-83.7126892
First National Building - 5502,2391.5099999999998,1747.0,11912.98,5502,42.2802779,-83.748217
Fisher Baseball Stadium - 0733,60433.299999999996,30275.0,525507.0,0733,42.2680112,-83.74185159999999
Flecher Hall - 0055,12044.95,17985.0,66224.77,0055,42.2701781,-83.74276689999999
Ford Nuclear Reactor (aka NEL) - 0405,64803.27,20565.0,563507.0,0405,42.2910896,-83.7142918
Ford Robotics Building - 5418,252239.93000000002,144117.0,2193390.84,5418,42.29462669999999,-83.7094824
Francois-Xavier Bagnoud Building (aka FXB) - 0395,292167.4199999999,101812.0,2540586.13,0395,42.2936991,-83.7119203
GG Brown Laboratory - 0407,928857.32,290555.0,8077019.890000001,0407,42.2931762,-83.71372869999999
GINSBERG EDWARD AND ROSALIE BUILDING - 5507,6067.24,0.0,29990.4,5507,42.27180329999999,-83.7360391
Galleria Building - 5060,34601.38,17744.0,172748.25,5060,42.2748133,-83.73388829999999
George Edwin S. Reserve Complex (aka ES George) - 4401,4555.53,21227.0,16643.131,4401,42.4456458,-84.0181247
Gerald R Ford Library - 0446,104358.72,47077.0,907467.0,0446,42.2885973,-83.7122827
Gerstacker - 0437,288399.62,61387.0,2507822.56,0437,42.2895553,-83.71522809999999
Glick Al Field House - 5121,157865.11,107253.0,1372740.0,5121,42.2652171,-83.74111669999999
Golf Course Practice Range Bldg - 0749,15725.0,720.0,90858.53,0749,42.2548175,-83.7495012
"Gorguze Family Laboratory (aka Engineering Programs Building, EPB, Gorguze) - 0424",143874.49,80487.0,1251082.7000000002,0424,42.2936042,-83.7108286
Hamilton Square - 8054,8796.07,2460.0,44904.549999999996,8054,42.2788942,-83.74000629999999
Hartwig Administration Building - 0201,10798.84,14649.0,93903.0,0201,42.2688407,-83.7409342
Hatcher Library North (aka Graduate Library South) - 0185,124514.08000000002,195323.0,1082731.0,0185,42.2763342,-83.7379811
Hatcher Library South (aka Graduate Library South) - 0181,203441.31500000003,147674.0,1769055.0,0181,42.2763342,-83.7379811
Haven Hall - 0175,131454.44,123488.0,1143082.0,0175,42.2762833,-83.7396129
"Health Service (aka UHS, HS) - 0176",125683.51000000001,79177.0,1092900.0,0176,42.2796645,-83.7365693
Helen Newberry - 0062,12042.68,31304.0,104719.0,0062,42.2769295,-83.74155929999999
Henderson House - 0057,8693.419999999998,9329.0,44322.1,0057,42.2718445,-83.7318051
Hill Auditorium - 0177,161855.25,105565.0,1407437.0,0177,42.279076,-83.7390391
Hoover Ave Complex (aka Plant Complex) - 0800,232306.21,187585.0,2020054.0,0800,42.26720299999999,-83.7460942
Huron Bank - 0837,8282.89,4301.0,41624.36,0837,42.2788178,-83.7397979
Hutchins Hall - 0179,130090.05999999998,119856.0,1131218.0,0179,42.2741841,-83.7391713
Indoor Track Building - 0703,27740.75,69183.0,241224.0,0703,42.26701670000001,-83.7436211
Industrial & Operation Engineering (aka IOE) - 0429,87692.36,50214.0,762542.3899999999,0429,42.2910706,-83.7137245
Institute for Social Research (aka ISR Thompson) - 0145,307666.63999999996,226082.0,2675362.0,0145,42.2768586,-83.7435738
Institute of Continuing Legal Education (aka ICLE) - 0814,24358.97,12592.0,146727.72,0814,42.2685624,-83.74792649999999
Intercollegiate Soccer Stadium - 5247,27599.66,17382.0,168095.72999999998,5247,42.2527222,-83.747253
"Intramural Sports Building (aka IM Building, IMSB, Recreation) - 0719",136836.54,108676.0,1189883.0,0719,42.2694673,-83.7422564
"James and Anne Duderstadt Center (aka Dude, ITC, Library) - 0396",579829.085,240256.0,5041992.13,0396,42.2912754,-83.7156345
"Jeffries Hall (aka South Hall , Law School) - 5235",133214.4,103128.0,1158386.0,5235,42.2729116,-83.7397522
John Cook Law Quad Complex - 0109,110658.29,157711.0,962246.0,0109,42.2746485,-83.73944469999999
KMS Fusion Building - 8126,142541.54000000004,125908.0,1077016.5,8126,42.2344473,-83.7384865
Kahn Health Care Pavilion - 5440,829040.77,2296.0,7202950.5200000005,5440,42.28233160000001,-83.73236159999999
Keen Arena - 0732,40343.51,37261.0,350813.0,0732,42.2695209,-83.7410979
Kellogg Eye Center (aka KEC) - 0324,248236.35,81670.0,2158577.0,0324,42.2882581,-83.7372608
Kellogg Eye Center - Grand Blanc - 5393,16999.07,8021.0,83777.0,5393,42.9178751,-83.645966
Kelsey Museum (aka Archeology Museum) - 0178,56499.37,40574.0,491299.0,0178,42.2767298,-83.7413737
"Kresge Hall (aka KBL, Business Library) - 0137",145090.1,76731.0,1261653.0,0137,42.2731115,-83.736071
LSA Building (aka Literature Science and the Arts) - 0150,325947.935,156119.0,2834330.0,0150,42.27648689999999,-83.74143889999999
Lane Hall - 0183,49278.649999999994,39993.0,310251.66,0183,42.2799135,-83.74125839999999
Lay Automotive Lab (aka Lay Auto) - 0400,206263.33,63286.0,1793594.3399999999,0400,42.2918673,-83.7138942
Leinweber - 5504,99548.70000000001,1200.0,865640.89,5504,42.29301110000001,-83.71728900000001
Liberty Centre - 0887,26606.7,19388.0,112014.04000000001,0887,42.2792429,-83.7421514
Lipsey Student Publications Building - 0105,9749.93,14829.0,84782.0,0105,42.2770771,-83.7423207
Livonia Center for Specialty Care - 8096,48795.63,5850.0,282618.78,8096,42.4326537,-83.43272069999999
Livonia Health Center - 8155,21763.57,11130.0,130063.98000000001,8155,42.438784,-83.376126
Lorch Hall - 0154,74208.47000000002,89808.0,645291.0,0154,42.27372889999999,-83.7374494
Lurie Bell Tower (aka Clock Tower) - 0394,15667.49,11452.0,136239.0,0394,42.2920035,-83.71622599999999
"Lurie Biomedical Engineering (aka LBME, BME) - 0406",225951.87,65028.0,1964798.6800000002,0406,42.2888497,-83.71381079999999
Lurie Engineering Center - 0397,96130.21500000001,53878.0,835915.09,0397,42.291525,-83.71383689999999
M15 Medical Center Parking Structure - 0300,42349.64,340052.0,491904.0,0300,42.28560179999999,-83.7318196
M18 Medical Center Parking Structure - 0315,76440.28,684123.0,664698.0,0315,42.2853435,-83.7310198
M22 Simpson Circle Parking Structure - 0320,93300.18000000001,467374.0,811306.0,0320,42.282068,-83.72824159999999
M5 Catherine Parking Structure - 0258,33949.05,140168.0,295209.0,0258,42.2829323,-83.73478659999999
M61 Glen Ave Parking Structure - 0331,23119.41,332918.0,227725.44,0331,42.283942,-83.736019
M85 Cardio Vascular Center Parking Structure - 5146,45403.02,168596.0,394809.0,5146,42.2823503,-83.7318305
M86 Ann Street Parking Structure - 5132,33334.80500000001,189202.0,289868.0,5132,42.2824559,-83.7347652
M93 Wall St. East Parking Structure - 5193,57230.369999999995,249962.0,364012.0,5193,42.288418,-83.7344449
MCity - 5381,7718.02,4463.0,67113.0,5381,42.2980353,-83.70202019999999
MCity Storage - 5442,5368.66,3305.0,46684.0,5442,42.2974857,-83.7042951
Mail Service Building - 0816,7877.82,5903.0,44687.68000000001,0816,42.2682808,-83.74785539999999
Martha Cook - 0052,32061.65,71974.0,278797.0,0052,42.274525,-83.73792329999999
Mary Markley Hall - 0060,264866.62,285877.0,2303188.0,0060,42.2808891,-83.7288791
"Mary Sue Coleman Hall (aka LSI, Life Sciences Institute, MSCH) - 5036",1399363.17,298400.0,12168375.0,5036,42.2796388,-83.73418559999999
Mason Hall - 0197,148346.45,136044.0,1289969.0,0197,42.2767582,-83.7407539
"Matthaei Botanical Gardens Complex (aka Botanical Gardens, Botan, MBGNA) - 0982",85153.48999999999,91085.0,651662.72,0982,42.2996921,-83.66200180000001
Matthaei Botanical Gardens Supt Residence - 0985,2406.25,2928.0,11293.65,0985,42.2996921,-83.66200180000001
Mcity Auxiliary Building - 2502,10766.59,2893.0,56753.64,2502,42.30131,-83.6966166
Med Inn (aka MIB) - 0308,168798.37,119437.0,1467812.0,0308,42.2827998,-83.7304379
Medical Professional Building (aka MPB) - 0319,47411.25,37298.0,412272.0,0319,42.2827495,-83.730322
"Medical Science Unit 1 (aka Med Sci 1, MS1) - 0190",812760.42,298955.0,7067481.949999999,0190,42.2839264,-83.7322658
"Medical Science Unit 2 (aka Med Sci 2, MS2) - 0200",1082231.0049999997,333599.0,9410704.64,0200,42.2835033,-83.7337068
Medical Sciences Research Bld1 (aka MSRB 1) - 0223,651759.93,144732.0,5667477.4,0223,42.2849017,-83.7324945
Medical Sciences Research Bld2 (aka MSRB 2) - 0213,641097.4500000001,163832.0,5574760.720000001,0213,42.2849017,-83.7324945
Medical Sciences Research Bld3 (aka MSRB 3) - 0229,972737.22,217818.0,8458584.440000001,0229,42.2849017,-83.7324945
"Michigan League (aka Theater, Michigan League, LEAG) - 0191",167723.14999999997,130839.0,1458462.0,0191,42.2793182,-83.7377271
Michigan News - 0222,4084.1,7811.0,35514.0,0222,42.277461,-83.7422835
Michigan Square - 0819,13969.710000000001,14157.0,66983.98000000001,0819,42.27920779999999,-83.74477310000002
Michigan Stadium Complex - 0711,1094840.285,577124.0,9520350.0,0711,42.2660981,-83.7484659
Michigan Union (aka Union) - 0120,339390.17000000004,262717.0,2951218.9999999995,0120,42.27522,-83.7413201
Mitchell Field (aka Mitchell Recreation Fields) - 2500,54627.990000000005,1440.0,326984.92000000004,2500,42.2855135,-83.72190599999999
Modern Languages Building (aka MLB) - 0207,168165.87,135378.0,1462312.0,0207,42.2798442,-83.7390533
Modular Aoss Newcomb Tract Facility - 5090,879.4,1404.0,2867.01,5090,42.416465,-83.89976899999999
Mosher-Jordan Hall (aka MOJO) - 0061,498893.95,191152.0,4338208.0,0061,42.2797959,-83.7323653
Munger Graduate Residence - 5369,331754.26999999996,390215.0,2884820.0,5369,42.2747975,-83.7437152
N13 Fletcher Parking Structure - 0254,71938.49,387276.0,625552.0,0254,42.2801878,-83.73646190000001
N26 Palmer Parking Structure - 0263,150982.34000000003,391303.0,1312890.0000000002,0263,42.2801218,-83.7345826
N4 Thayer Street Parking Structure - 0259,12698.419999999998,164936.0,110421.0,0259,42.27975,-83.7399337
NCRC Building 28 - 5264,370292.78,131476.0,0.0,5264,42.2998184,-83.7049715
NCRC Building 550 - 5282,265654.45,236634.0,2384880.0,5282,42.3003717,-83.70197859999999
Naval Architecture and Marine Engineering (aka NAME) - 0415,148298.59000000003,47002.0,1289552.62,0415,42.2930703,-83.7091513
New Ccrb - 5445,42752.149999999994,0.0,371758.0,5445,42.278294,-83.73275029999999
New Pharmacy Building - 5492,81294.59000000001,500.0,532415.53,5492,42.2816111,-83.73680590000001
Nicholas Arboretum Residence Complex - 0005,2213.62,3921.0,10506.16,0005,42.278734,-83.723292
"North Campus Administrative Complex (aka NCAC, ""Toaster"") - 0399",231396.56,129114.0,2012144.0,0399,42.2964028,-83.702895
"North Campus Auxiliary Service Building (aka NCASB, Data Center) - 5223",1081257.46,54428.0,9402239.0,5223,42.2921018,-83.70708599999999
North Campus Ground Svc Facility - 2514,28937.33,28246.0,251629.0,2514,42.2922422,-83.7077322
North Campus Housing Service Building - 0449,12850.68,31855.0,111745.0,0449,42.297922,-83.695437
"North Campus Recreation Building (aka NCRB, North Rec) - 0427",127054.54,67512.0,1104821.98,0427,42.2955073,-83.7201345
North Campus Research Complex (aka NCRC) - 5273,3006249.8200000003,1562673.0,31515783.490000002,5273,42.2998184,-83.7049715
North Campus Service Building #1 - 0418,47417.27,23191.0,412324.0,0418,42.2967869,-83.69778629999999
North Campus Storage Building - 0430,10240.050000000001,45750.0,89044.0,0430,42.2982355,-83.69674599999999
North Campus Support Facility (Eco Pod) - 5334,357388.71,2529.0,3107728.0,5334,42.2983945,-83.7016987
"North Quad (aka North Quad, NQ) - 5177",394022.55999999994,388563.0,3426282.9999999995,5177,42.2806065,-83.7406428
Northville Health Center - 5341,248870.58,102228.0,2033794.0,5341,42.4222724,-83.43773689999999
Northwood Community Center - 0600,16739.39,13744.0,145560.0,0600,42.2973493,-83.70907849999999
Northwood I Complex (aka NW1) - 0450,29347.189999999995,66104.0,255193.0,0450,42.2957065,-83.714168
Northwood II Complex (aka NW2) - 0457,83094.51000000001,184640.0,722561.0,0457,42.297753,-83.71381509999999
Northwood IV Complex (aka NW4) - 0601,156792.15999999997,529589.0,1363410.0,0601,42.29674,-83.70989999999999
Northwood V Apartments (aka NW5) - 2701,184490.13000000003,559838.0,1604262.0,2701,42.2946648,-83.70055719999999
Observatory Lodge (aka Old Kinesiology) - 0851,20559.480000000003,30964.0,121245.17000000001,0851,42.280197,-83.7305806
Oosterbaan Bennie Field House - 0704,81922.20000000001,89001.0,712367.0,0704,42.2658933,-83.742351
